GENUS;Source;COMMENT on genus;primary_lifestyle;Secondary_lifestyle;Comment_on_lifestyle_template;Endophytic_interaction_capability_template;Plant_pathogenic_capacity_template;Decay_substrate_template;Decay_type_template;Aquatic_habitat_template;Animal_biotrophic_capacity_template;Specific_hosts;Growth_form_template;Fruitbody_type_template;Hymenium_type_template;Ectomycorrhiza_exploration_type_template;Ectomycorrhiza_lineage_template;primary_photobiont;secondary_photobiont
Leptodontidium;Fungal_traits_DB;;litter_saprotroph;ericoid_mycorrhizal;;root_endophyte_dark_septate;;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;None;none;;;;
Barrenia;Fungal_traits_DB;;root_endophyte;soil_saprotroph;;root_endophyte;;soil;;non-aquatic;;;filamentous_mycelium;;;;;;
Cheirospora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Corynesporopsis;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Fuscosclera;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Phaeomollisia;Fungal_traits_DB;;foliar_endophyte;wood_saprotroph;;foliar_endophyte;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Exochalara;Fungal_traits_DB;;litter_saprotroph;wood_saprotroph;;;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Lareunionomyces;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Neolauriomyces;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Allophylaria;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Antinoa;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Austropezia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Calycellina;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Calycina;Fungal_traits_DB;;wood_saprotroph;foliar_endophyte;;foliar_endophyte;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Chalara;Fungal_traits_DB;;litter_saprotroph;plant_pathogen;hypervariable;foliar_endophyte;wood_pathogen,leaf/fruit/seed_pathogen;wood,leaf/fruit/seed;soft_rot;non-aquatic;;;filamentous_mycelium;None;none;;;;
Hyalodendriella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Micropeziza;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Mollisina;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Mollisinopsis;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Moserella;Fungal_traits_DB;;unspecified_symbiotroph;root-associated;;root-associated;root-associated;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Phaeoscypha;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Poculinia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Scleropezicula;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Zymochalara;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;ferns;filamentous_mycelium;;;;;;
Velutaria;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Xiambola;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Pleuroascus;Fungal_traits_DB;;dung_saprotroph;;;;;dung;;non-aquatic;;;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Volucrispora;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_freshwater_(partly_non-aquatic);;;filamentous_mycelium;;;;;;
Porodiplodia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;None;none;;;;
Bicornispora;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Dencoeliopsis;Fungal_traits_DB;;unspecified_saprotroph;fungal_decomposer;litter_saprotroph_one_species;;;fungal_material;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Lambertella;Fungal_traits_DB;;litter_saprotroph;;plant_pathogen_weak_some_species;;;leaf/fruit/seed;;partly_freshwater_(partly_non-aquatic);;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Lanzia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Moellerodiscus;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Neometulocladosporiella;Fungal_traits_DB;;plant_pathogen;;;;other_plant_pathogen;;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Piceomphale;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Poculum;Fungal_traits_DB;synonym of Rutstroemia;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Rutstroemia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Amerosporium;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Amphobotrys;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Banksiamyces;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Banksia_cones;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Botrytis;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;none;none;;;;
Ciboria;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;litter_saprotroph_many_species;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Ciborinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Ciboriopsis;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Clarireedia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Coprotinia;Fungal_traits_DB;;dung_saprotroph;;;;;dung;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Coremiella;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Cristulariella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Cudoniopsis;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Dumontinia;Fungal_traits_DB;;plant_pathogen;unsepcified_saprotroph;;;root_pathogen;roots;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Elliottinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Grovesinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Haradamyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;None;none;;;;
Hinomyces;Fungal_traits_DB;synonym of Grovesinia;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Kohninia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Martininia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Monilia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Monilinia;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Myrioconium;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Myriosclerotinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Ovulinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Phaeosclerotinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Pseudociboria;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Pycnopeziza;Fungal_traits_DB;;litter_saprotroph;plant_pathogen;plant_pathogen_weak;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Redheadia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Sclerencoelia;Fungal_traits_DB;;wood_saprotroph;;wood_pathogen_one_species;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Scleromitrula;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Sclerotinia;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Seaverinia;Fungal_traits_DB;;plant_pathogen;unsepcified_saprotroph;;;root_pathogen;roots;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Septotinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Streptobotrys;Fungal_traits_DB;synonym of Streptotinia;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Streptotinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Stromatinia;Fungal_traits_DB;;plant_pathogen;;;;other_plant_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Torrendiella;Fungal_traits_DB;;litter_saprotroph;foliar_endophyte;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Valdensia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Valdensinia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Verrucobotrys;Fungal_traits_DB;synonym of Seaverinia;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Geniculospora;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;;;;;;
Graddonia;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;partly_freshwater_(partly_non-aquatic);;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Halenospora;Fungal_traits_DB;;wood_saprotroph;litter_saprotroph;;;;wood,leaf/fruit/seed;;marine;;;filamentous_mycelium;;;;;;
Mycofalcella;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;;;;;;
Tricladium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_freshwater_(partly_non-aquatic);;;filamentous_mycelium;;;;;;
Vandijckella;Fungal_traits_DB;;soil_saprotroph;;;;;soil;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Satchmopsis;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Miniancora;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;freshwater;;;filamentous_mycelium;none;none;;;;
Flagellospora;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;none;none;;;;
Epithamnolia;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Calyptrozyma;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;opportunistic_human_parasite;;yeast;none;none;;;;
Culicidospora;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;;;;;;
Deltopyxis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Phaeopyxis;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Trullula;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Micraspis;Fungal_traits_DB;;litter_saprotroph;foliar_endophyte;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;Pinaceae_cones;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Calloriopsis;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Eleutheromycella;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Eleutheromyces;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;non-aquatic;;;dimorphic_yeast;none;none;;;;
Gelatinipulvinella;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Geltingia;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Helicogonium;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;non-aquatic;;;yeast;other;;;;;
Lophophacidium;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Cudonia;Fungal_traits_DB;;litter_saprotroph;soil_saprotroph;;;;leaf/fruit/seed,soil;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Spathularia;Fungal_traits_DB;;litter_saprotroph;soil_saprotroph;;;;leaf/fruit/seed,soil;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Pseudographis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Apiodiscus;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Acer;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Bonanseja;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Acer;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Didymascus;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Acer;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Haplophyse;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Acer;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Irydyonia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Acer;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Laquearia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Acer;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Mycosymbioces;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Nymanomyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Acer;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Pseudotrochila;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Rhododendron;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Huangshania;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Triblidium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Bettsia;Fungal_traits_DB;;animal_parasite;animal_decomposer;;;;animal_material;;non-aquatic;arthropod-associated;Apis;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Geomyces;Fungal_traits_DB;;soil_saprotroph;;;;;soil;;partly_aquatic;;;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Gymnostellatospora;Fungal_traits_DB;;soil_saprotroph;;;;;soil;;non-aquatic;;;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Pseudeurotium;Fungal_traits_DB;;dung_saprotroph;soil_saprotroph;;;;soil,dung;;partly_aquatic;;;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Pseudogymnoascus;Fungal_traits_DB;;soil_saprotroph;;;;;soil;;partly_aquatic;opportunistic_animal_parasite_G._destructans;;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Gorgomyces;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_freshwater_(partly_non-aquatic);;;filamentous_mycelium;;;;;;
Patinella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Saksenamyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;Shorea;filamentous_mycelium;;;;;;
Pseudoneoconiothyrium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Fasciatispora;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Uncobasidium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Aphanobasidium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Lepidomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Radulomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Radulotubus;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;poroid;;;;
Nothocorticium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Bridgeoporus;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;polyporoid;poroid;;;;
Sceptrulum;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Skvortzovia;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;hydnoid;;;;
Odonticium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;hydnoid;;;;
Irpex;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;partly_aquatic;;;filamentous_mycelium;corticioid;hydnoid;;;;
Rigidoporopsis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;poroid;;;;
Baltazaria;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;clavarioid;smooth;;;;
Confertobasidium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;white_rot;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Jianyunia;Fungal_traits_DB;;epiphyte;litter_saprotroph;;;;leaf/fruit/seed;;non-aquatic;;;dimorphic_yeast;;;;;;
Roestelia;Fungal_traits_DB;synonym of Gymnosporangium;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Hiratsukamyces;Fungal_traits_DB;synonym of Elateraecium;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Dasturella;Fungal_traits_DB;synonym of Kweilingia;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Frommeëlla;Fungal_traits_DB;synonym of Phragmidium;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Dipyxis;Fungal_traits_DB;;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Endophylloides;Fungal_traits_DB;;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Coleopuccinia;Fungal_traits_DB;Nom. illegit.;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Petersonia;Fungal_traits_DB;Nom. invalid.;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Physopella;Fungal_traits_DB;Nom. illegit.;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Peridermium;Fungal_traits_DB;synonym of Melampsorella;plant_pathogen;;obligate_plant_pathogen;no_endophytic_capacity;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;rust;other;;;;
Polylobatispora;Fungal_traits_DB;;litter_saprotroph;;;;;;;;;;;;;;;;
Phaeodactylium;Fungal_traits_DB;type species not sequenced;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;partly_aquatic;;;filamentous_mycelium;;;;;;
Echidnodella;Fungal_traits_DB;;epiphyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle);closed;;;;
Halbania;Fungal_traits_DB;;epiphyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle);closed;;;;
Meliolaster;Fungal_traits_DB;;epiphyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle);closed;;;;
Parasterinopsis;Fungal_traits_DB;;epiphyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle);closed;;;;
Prillieuxina;Fungal_traits_DB;;epiphyte;litter_saprotroph;parasymbiont;foliar_endophyte;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle);closed;;;;
