GENUS;Source;COMMENT on genus;primary_lifestyle;Secondary_lifestyle;Comment_on_lifestyle_template;Endophytic_interaction_capability_template;Plant_pathogenic_capacity_template;Decay_substrate_template;Decay_type_template;Aquatic_habitat_template;Animal_biotrophic_capacity_template;Specific_hosts;Growth_form_template;Fruitbody_type_template;Hymenium_type_template;Ectomycorrhiza_exploration_type_template;Ectomycorrhiza_lineage_template;primary_photobiont;secondary_photobiont
Davisoniella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Devriesia;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Elasticomyces;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Eupenidiella;Fungal_traits_DB;;animal_parasite;animal_decomposer;;;;animal_material;;non-aquatic;animal_parasite/opportunistic_human_parasite;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Euteratosphaeria;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Fodinomyces;Fungal_traits_DB;;soil_saprotroph;;;;;soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Friedmanniomyces;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Hispidoconidioma;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Hortaea;Fungal_traits_DB;;animal_parasite;plant_pathogen;;;leaf/fruit/seed_pathogen;leaf/fruit/seed,animal_material;;partly_aquatic;animal_parasite/opportunistic_human_parasite;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Hyweljonesia;Fungal_traits_DB;;animal-associated;animal_decomposer;;;;animal_material;;non-aquatic;animal-associated;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Incertomyces;Fungal_traits_DB;;unspecified_saprotroph;rock-inhabiting;;;;soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Lapidomyces;Fungal_traits_DB;;unspecified_saprotroph;rock-inhabiting;;;;soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Leptomelanconium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Meristemomyces;Fungal_traits_DB;;litter_saprotroph;rock-inhabiting;;;;leaf/fruit/seed,soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Microcyclospora;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Monticola;Fungal_traits_DB;;unspecified_saprotroph;rock-inhabiting;;;;soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Myrtapenidiella;Fungal_traits_DB;;litter_saprotroph;plant_pathogen;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neocatenulostroma;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neophaeothecoidea;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neotrimmatostroma;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Oleoguttula;Fungal_traits_DB;;litter_saprotroph;rock-inhabiting;;;;leaf/fruit/seed,soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pachysacca;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Parapenidiella;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Parateratosphaeria;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Penidiella;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Penidiellomyces;Fungal_traits_DB;;epiphyte;litter_saprotroph;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Penidiellopsis;Fungal_traits_DB;;animal_parasite;animal_decomposer;;;;animal_material;;non-aquatic;animal_parasite/opportunistic_human_parasite;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
