Reference,DOI,Ref_Type,Accession,Fungi,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Study_Type,Organ,Sampling_Location,Lat,Lon,Country,Collection_Date,Host_Genus,Host_Species,Host_Kingdom,Host_Phylum,Host_Class,Host_Order,Host_Family,MAT,MAP,Elevation,spr_rgn
"Banerjee, D. (2011). Endophytic fungal diversity in tropical and subtropical plants. Res J Microbiol, 6(1), 54-62.",https://doi.org/10.1002/ecs2.1710,Literature,NA,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Culture based study,Root,NA,NA,NA,United States,NA,Festuca,arundinacea,Plantae,Magnoliophyta,Magnoliopsida,Poales,Poaceae,NA,NA,NA,NA
Root endophytic basidiomycetes isolates from permanent grassland harbour Mollicutes-related endo-bacteria,Unpublished,GenBank,KX218391,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,Root,NA,NA,NA,Germany,NA,Galium,album,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Rubiaceae,NA,NA,NA,NA
"Taghinasab, M., Imani, J., Steffens, D., Glaeser, S. P., & Kogel, K. H. (2018). The root endophytes Trametes versicolor and Piriformospora indica increase grain yield and P content in wheat. Plant and soil, 426(1), 339-348.",https://doi.org/10.1007/s11104-018-3624-7,Literature,MG520179,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Culture based study,Root,Giessen,50.5326,8.685,Germany,NA,Galium,album,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Rubiaceae,0.922550010681152,665,195,Mexico NW deserts and montane forests
"Taghinasab, M., Imani, J., Steffens, D., Glaeser, S. P., & Kogel, K. H. (2018). The root endophytes Trametes versicolor and Piriformospora indica increase grain yield and P content in wheat. Plant and soil, 426(1), 339-348.",https://doi.org/10.1007/s11104-018-3624-7,Literature,NA,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,Root,Linden,50.5325,8.685,Germany,NA,Galium,album,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Rubiaceae,0.922550010681152,665,195,Mexico NW deserts and montane forests
"Wang, Y., Lai, Z., Li, X. X., Yan, R. M., Zhang, Z. B., Yang, H. L., & Zhu, D. (2016). Isolation, diversity and acetylcholinesterase inhibitory activity of the culturable endophytic fungi harboured in Huperzia serrata from Jinggang Mountain, China. World Journal of Microbiology and Biotechnology, 32, 1-23.",https://doi.org/10.1007/s11274-015-1966-3,GenBank,KP689193,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,Leaf,"Jiangxi province, Mt. Jinggang",NA,NA,China,NA/NA/2013,Huperzia,serrata,Plantae,Lycopodiophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,NA,NA,NA,NA
"Huang, Q., An, H., Song, H., Mao, H., Shen, W., & Dong, J. (2015). Diversity and biotransformative potential of endophytic fungi associated with the medicinal plant Kadsura angustifolia. Research in microbiology, 166(1), 45-55.",https://doi.org/10.1016/j.resmic.2014.12.004,Literature,KM013436,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Culture based study,Branch (Twig),Xichou and Maguan of Yunnan province,NA,NA,China,20/11/2012,Kadsura,angustifolia,Plantae,Magnoliophyta,Magnoliopsida,Austrobaileyales,Schisandraceae,NA,NA,NA,NA
New species of root endophytic fungi of annual plants in Iran,Unpublished,GenBank,MG669636,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,Root,NA,NA,NA,Iran,NA,Lactuca,serriola,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA,NA,NA
"Whitaker, B. K., Christian, N., Chai, Q., & Clay, K. (2020). Foliar fungal endophyte community structure is independent of phylogenetic relatedness in an Asteraceae common garden. Ecology and Evolution, 10(24), 13895-13912.",https://doi.org/10.1002/ece3.6983,Literature,MW157686,Xylodon flaviporus,Xylodon flaviporus (Berk. & M.A.Curtis ex Cooke) Riebesehl & Langer,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Xylodon flaviporus,Microbiome study,Leaf,Indiana,NA,NA,United States,NA/09/2014,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Kernaghan, G., & Patriquin, G. (2011). Host associations between fungal root endophytes and boreal trees. Microbial ecology, 62(2), 460-473.",https://doi.org/10.1007/s00248-011-9851-6,Literature,HQ157912,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,Culture based study,Root,Boreal sites in eastern Canada,NA,NA,Canada,NA,Abies,balsamea,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,NA,NA,NA,NA
"Chi, W.-C., Chen, W., He, C.-C., Guo, S.-Y., Cha, H.-J., Tsang, L. M., Ho, T. W., & Pang, K.-L. (2019). A highly diverse fungal community associated with leaves of the mangrove plant Acanthus ilicifolius var. xiamenensis revealed by isolation and metabarcoding analyses. PeerJ, 7, e7293. ",https://doi/org/10.7717/peerj.7293,Literature,NA,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Leaf,Lieyu Township,24.45,118.25,Taiwan,NA,Acanthus,ilicifolius,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Acanthaceae,2.06508331298828,988,2,North India moist forests
